 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.129,0.490,0.117,0.133,0.316,0.060,0.357,0.167,0.222,0.227,0.151,0.293,0.000,0.415,0.068
model.000.01.pdb,0.438,0.158,0.101,0.596,0.083,0.452,0.245,0.081,0.018,0.315,0.542,0.354,0.553,0.000,0.153
model.000.02.pdb,0.219,0.056,0.635,0.105,0.000,0.000,0.000,0.520,0.383,0.000,0.064,0.104,0.062,0.276,0.481
model.000.03.pdb,0.271,0.029,0.673,0.141,0.000,0.000,0.000,0.490,0.265,0.000,0.081,0.060,0.161,0.092,0.510
model.000.04.pdb,0.158,0.145,0.014,0.358,0.069,0.450,0.212,0.016,0.000,0.360,0.392,0.127,0.400,0.000,0.032
model.000.05.pdb,0.527,0.306,0.197,0.667,0.096,0.382,0.266,0.171,0.092,0.344,0.589,0.455,0.298,0.039,0.277
model.000.06.pdb,0.152,0.090,0.482,0.051,0.014,0.000,0.043,0.574,0.575,0.013,0.025,0.091,0.015,0.469,0.316
model.000.07.pdb,0.327,0.489,0.081,0.436,0.131,0.354,0.400,0.076,0.091,0.389,0.500,0.568,0.212,0.150,0.091
model.000.08.pdb,0.339,0.041,0.720,0.197,0.000,0.014,0.000,0.481,0.245,0.000,0.120,0.119,0.169,0.087,0.560
model.000.09.pdb,0.393,0.500,0.104,0.474,0.175,0.321,0.415,0.070,0.083,0.404,0.509,0.609,0.259,0.156,0.116
model.000.10.pdb,0.061,0.136,0.203,0.000,0.100,0.000,0.117,0.308,0.500,0.059,0.014,0.065,0.000,0.692,0.131
model.000.11.pdb,0.070,0.106,0.317,0.000,0.059,0.000,0.090,0.370,0.500,0.040,0.013,0.075,0.000,0.600,0.172
model.000.12.pdb,0.262,0.053,0.854,0.143,0.013,0.000,0.013,0.633,0.380,0.012,0.074,0.099,0.125,0.200,0.620
model.000.13.pdb,0.283,0.542,0.050,0.361,0.217,0.255,0.480,0.087,0.085,0.411,0.390,0.460,0.117,0.217,0.056
model.000.14.pdb,0.389,0.286,0.093,0.761,0.092,0.523,0.309,0.058,0.016,0.453,0.739,0.479,0.354,0.029,0.121
