 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.136,0.608,0.113,0.071,0.053,0.042,0.123,0.141,0.000,0.136,0.000,0.295,0.139,0.013,0.463
model.000.01.pdb,0.213,0.180,0.643,0.226,0.190,0.255,0.075,0.580,0.127,0.275,0.000,0.015,0.091,0.388,0.015
model.000.02.pdb,0.200,0.125,0.083,0.298,0.418,0.259,0.588,0.086,0.315,0.254,0.000,0.068,0.653,0.027,0.238
model.000.03.pdb,0.260,0.054,0.119,0.449,0.596,0.400,0.560,0.104,0.545,0.315,0.000,0.000,0.592,0.088,0.103
model.000.04.pdb,0.059,0.078,0.404,0.088,0.065,0.151,0.015,0.490,0.093,0.069,0.000,0.015,0.015,0.585,0.000
model.000.05.pdb,0.286,0.299,0.527,0.404,0.355,0.411,0.208,0.621,0.222,0.481,0.000,0.024,0.145,0.277,0.063
model.000.06.pdb,0.185,0.179,0.027,0.180,0.267,0.183,0.463,0.049,0.211,0.200,0.000,0.134,0.580,0.000,0.434
model.000.07.pdb,0.196,0.520,0.431,0.131,0.106,0.133,0.070,0.456,0.031,0.255,0.000,0.043,0.086,0.180,0.159
model.000.08.pdb,0.264,0.093,0.162,0.531,0.681,0.451,0.577,0.141,0.532,0.415,0.000,0.000,0.608,0.068,0.097
model.000.09.pdb,0.179,0.528,0.444,0.175,0.147,0.177,0.080,0.467,0.044,0.298,0.000,0.068,0.080,0.167,0.164
model.000.10.pdb,0.074,0.237,0.014,0.015,0.061,0.048,0.217,0.026,0.016,0.082,0.000,0.296,0.259,0.000,0.750
model.000.11.pdb,0.085,0.197,0.013,0.059,0.134,0.060,0.295,0.036,0.078,0.091,0.000,0.226,0.386,0.000,0.617
model.000.12.pdb,0.273,0.104,0.108,0.418,0.547,0.375,0.700,0.108,0.442,0.322,0.000,0.025,0.771,0.052,0.188
model.000.13.pdb,0.140,0.600,0.328,0.123,0.085,0.125,0.067,0.381,0.045,0.217,0.000,0.132,0.067,0.152,0.222
model.000.14.pdb,0.189,0.300,0.596,0.203,0.190,0.228,0.068,0.700,0.079,0.315,0.000,0.014,0.068,0.321,0.042
