 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.500,0.175,0.346,0.127,0.600,0.066,0.340,0.087,0.592,0.617,0.571,0.169,0.219,0.829,0.086
model.000.01.pdb,0.196,0.018,0.093,0.380,0.326,0.346,0.111,0.306,0.241,0.250,0.179,0.512,0.031,0.208,0.327
model.000.02.pdb,0.150,0.000,0.043,0.660,0.230,0.647,0.072,0.393,0.141,0.145,0.159,0.795,0.013,0.099,0.646
model.000.03.pdb,0.358,0.281,0.382,0.103,0.500,0.074,0.400,0.080,0.585,0.577,0.431,0.155,0.312,0.653,0.079
model.000.04.pdb,0.417,0.302,0.309,0.123,0.451,0.051,0.281,0.027,0.633,0.696,0.519,0.147,0.311,0.674,0.068
model.000.05.pdb,0.489,0.224,0.298,0.135,0.583,0.076,0.293,0.053,0.673,0.702,0.620,0.176,0.242,0.756,0.096
model.000.06.pdb,0.326,0.016,0.083,0.500,0.426,0.382,0.100,0.228,0.327,0.315,0.263,0.651,0.043,0.228,0.420
model.000.07.pdb,0.000,0.000,0.169,0.162,0.060,0.250,0.207,0.451,0.027,0.014,0.000,0.136,0.100,0.028,0.172
model.000.08.pdb,0.111,0.000,0.042,0.714,0.169,0.735,0.027,0.436,0.108,0.111,0.125,0.667,0.000,0.068,0.739
model.000.09.pdb,0.380,0.489,0.217,0.064,0.316,0.012,0.233,0.000,0.528,0.549,0.455,0.082,0.421,0.560,0.026
model.000.10.pdb,0.108,0.000,0.049,0.655,0.189,0.702,0.074,0.569,0.119,0.122,0.107,0.586,0.022,0.083,0.643
model.000.11.pdb,0.439,0.017,0.105,0.377,0.548,0.276,0.143,0.172,0.392,0.380,0.373,0.468,0.029,0.333,0.302
model.000.12.pdb,0.333,0.182,0.417,0.147,0.556,0.097,0.408,0.106,0.551,0.510,0.364,0.194,0.246,0.622,0.088
model.000.13.pdb,0.108,0.000,0.041,0.686,0.182,0.642,0.027,0.373,0.105,0.108,0.107,0.577,0.000,0.066,0.708
model.000.14.pdb,0.605,0.273,0.237,0.122,0.442,0.077,0.213,0.026,0.620,0.646,0.633,0.145,0.246,0.660,0.097
