 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.250,0.186,0.356,0.764,0.500
f_min.final_model.000.01.det_cont.csv,0.180,0.132,0.138,0.422,0.161
f_min.final_model.000.02.det_cont.csv,0.240,0.194,0.185,0.403,0.210
f_min.final_model.000.03.det_cont.csv,0.389,0.417,0.300,0.139,0.212
f_min.final_model.000.04.det_cont.csv,0.425,0.415,0.674,0.309,0.429
