 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.057,0.000,0.164,0.072
f_min.final_model.000.01.det_cont.csv,0.568,0.404,0.138,0.148,0.327
f_min.final_model.000.02.det_cont.csv,0.000,0.116,0.000,0.233,0.149
f_min.final_model.000.03.det_cont.csv,0.043,0.041,0.000,0.088,0.041
f_min.final_model.000.04.det_cont.csv,0.177,0.100,0.857,0.276,0.116
