 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.134,0.654,0.323,0.411,0.254
f_min.final_model.000.01.det_cont.csv,0.400,0.197,0.232,0.347,0.333
f_min.final_model.000.02.det_cont.csv,0.488,0.121,0.207,0.264,0.375
f_min.final_model.000.03.det_cont.csv,0.439,0.169,0.204,0.319,0.333
f_min.final_model.000.04.det_cont.csv,0.242,0.381,0.092,0.569,0.452
