 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.116,0.217,0.250,0.379
f_min.final_model.000.01.det_cont.csv,0.690,0.266,0.100,0.480,0.714
f_min.final_model.000.02.det_cont.csv,0.125,0.262,0.814,0.119,0.076
f_min.final_model.000.03.det_cont.csv,0.153,0.393,0.276,0.420,0.246
f_min.final_model.000.04.det_cont.csv,0.479,0.350,0.132,0.574,0.647
