 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.000,0.238,0.037,0.000,0.191
f_min.final_model.000.01.det_cont.csv,0.000,0.522,0.028,0.014,0.121
f_min.final_model.000.02.det_cont.csv,0.097,0.218,0.164,0.060,0.127
f_min.final_model.000.03.det_cont.csv,0.090,0.077,0.173,0.048,0.467
f_min.final_model.000.04.det_cont.csv,0.138,0.121,0.190,0.062,0.190
