 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
finalmodel.000.00.det_cont.csv,0.134,0.400,0.488,0.439,0.242
finalmodel.000.01.det_cont.csv,0.654,0.197,0.121,0.169,0.381
finalmodel.000.02.det_cont.csv,0.323,0.232,0.207,0.204,0.092
finalmodel.000.03.det_cont.csv,0.411,0.347,0.264,0.319,0.569
finalmodel.000.04.det_cont.csv,0.254,0.333,0.375,0.333,0.452
