 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.510,0.508,0.316,0.346
f_min.final_model.000.01.det_cont.csv,0.510,1.000,0.282,0.360,0.500
f_min.final_model.000.02.det_cont.csv,0.508,0.282,1.000,0.290,0.183
f_min.final_model.000.03.det_cont.csv,0.316,0.360,0.290,1.000,0.271
f_min.final_model.000.04.det_cont.csv,0.346,0.500,0.183,0.271,1.000
