 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv
finalmodel.000.00.det_cont.csv,1.000,0.161,0.133,0.300,0.531
finalmodel.000.01.det_cont.csv,0.161,1.000,0.258,0.500,0.308
finalmodel.000.02.det_cont.csv,0.133,0.258,1.000,0.127,0.080
finalmodel.000.03.det_cont.csv,0.300,0.500,0.127,1.000,0.560
finalmodel.000.04.det_cont.csv,0.531,0.308,0.080,0.560,1.000
