 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.271,0.421,0.119,0.333,0.621
f_min.final_model.000.01.det_cont.csv,0.197,0.286,0.094,0.273,0.444
f_min.final_model.000.02.det_cont.csv,0.382,0.568,0.233,0.314,0.590
f_min.final_model.000.03.det_cont.csv,0.632,0.433,0.726,0.355,0.317
f_min.final_model.000.04.det_cont.csv,0.510,0.718,0.313,0.327,0.538
