 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.224,0.070,0.353,0.362
f_min.final_model.000.01.det_cont.csv,0.281,0.389,0.157,0.217,0.545
f_min.final_model.000.02.det_cont.csv,0.277,0.169,0.448,0.370,0.169
f_min.final_model.000.03.det_cont.csv,0.339,0.500,0.368,0.429,0.383
f_min.final_model.000.04.det_cont.csv,0.344,0.471,0.231,0.304,0.581
