 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.281,0.277,0.339,0.344
f_min.final_model.000.01.det_cont.csv,0.224,0.389,0.169,0.500,0.471
f_min.final_model.000.02.det_cont.csv,0.070,0.157,0.448,0.368,0.231
f_min.final_model.000.03.det_cont.csv,0.353,0.217,0.370,0.429,0.304
f_min.final_model.000.04.det_cont.csv,0.362,0.545,0.169,0.383,0.581
