 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.642,0.233,0.136,0.186,0.375
f_min.final_model.000.01.det_cont.csv,0.455,0.340,0.214,0.286,0.588
f_min.final_model.000.02.det_cont.csv,0.629,0.114,0.072,0.105,0.229
f_min.final_model.000.03.det_cont.csv,0.300,0.413,0.347,0.386,0.197
f_min.final_model.000.04.det_cont.csv,0.281,0.500,0.386,0.474,0.423
