 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.760,0.500,0.594,0.362,0.321
f_min.final_model.000.01.det_cont.csv,0.281,0.154,0.455,0.352,0.172
f_min.final_model.000.02.det_cont.csv,0.250,0.200,0.435,0.520,0.203
f_min.final_model.000.03.det_cont.csv,0.141,0.222,0.087,0.422,0.341
f_min.final_model.000.04.det_cont.csv,0.311,0.431,0.190,0.365,0.571
