 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.177,0.729,0.295,0.462,0.284
f_min.final_model.000.01.det_cont.csv,0.269,0.551,0.200,0.643,0.386
f_min.final_model.000.02.det_cont.csv,0.074,0.492,0.431,0.304,0.176
f_min.final_model.000.03.det_cont.csv,0.255,0.298,0.429,0.264,0.203
f_min.final_model.000.04.det_cont.csv,0.439,0.327,0.182,0.590,0.440
