 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.095,0.659,0.683,0.600,0.262
f_min.final_model.000.01.det_cont.csv,0.232,0.385,0.431,0.388,0.433
f_min.final_model.000.02.det_cont.csv,0.344,0.217,0.194,0.190,0.087
f_min.final_model.000.03.det_cont.csv,0.414,0.353,0.250,0.300,0.339
f_min.final_model.000.04.det_cont.csv,0.308,0.440,0.404,0.447,0.458
