 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.113,0.040,0.171,0.065,0.390
f_min.final_model.000.01.det_cont.csv,0.015,0.444,0.030,0.015,0.190
f_min.final_model.000.02.det_cont.csv,0.047,0.692,0.000,0.061,0.186
f_min.final_model.000.03.det_cont.csv,0.000,0.488,0.032,0.000,0.182
f_min.final_model.000.04.det_cont.csv,0.231,0.215,0.258,0.203,0.092
