 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.208,0.457,0.368,0.469,0.275
f_min.final_model.000.01.det_cont.csv,0.155,0.408,0.522,0.477,0.297
f_min.final_model.000.02.det_cont.csv,0.339,0.404,0.314,0.409,0.481
f_min.final_model.000.03.det_cont.csv,0.655,0.221,0.151,0.197,0.329
f_min.final_model.000.04.det_cont.csv,0.481,0.333,0.226,0.304,0.500
