 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.474,0.514,0.228,0.417
f_min.final_model.000.01.det_cont.csv,0.474,1.000,0.420,0.173,0.302
f_min.final_model.000.02.det_cont.csv,0.514,0.420,1.000,0.349,0.571
f_min.final_model.000.03.det_cont.csv,0.228,0.173,0.349,1.000,0.431
f_min.final_model.000.04.det_cont.csv,0.417,0.302,0.571,0.431,1.000
