 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.328,0.354,0.086,0.258
f_min.final_model.000.01.det_cont.csv,0.238,0.200,0.316,0.750,0.628
f_min.final_model.000.02.det_cont.csv,0.145,0.197,0.267,0.600,0.479
f_min.final_model.000.03.det_cont.csv,0.194,0.193,0.268,0.686,0.650
f_min.final_model.000.04.det_cont.csv,0.373,0.062,0.113,0.185,0.400
