 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.000,0.190,0.000,0.133,0.099
f_min.final_model.000.01.det_cont.csv,0.524,0.042,0.167,0.136,0.375
f_min.final_model.000.02.det_cont.csv,0.015,0.258,0.000,0.203,0.125
f_min.final_model.000.03.det_cont.csv,0.000,0.114,0.000,0.060,0.066
f_min.final_model.000.04.det_cont.csv,0.133,0.279,0.805,0.127,0.080
