Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.8,0.55,0.6,0.55,0.6,0.45
G3,0.8,0.0,0.15,0.15,0.25,0.15,0.1
A4,0.55,0.15,0.0,0.15,0.15,0.2,0.25
B10,0.6,0.15,0.15,0.0,0.05,0.1,0.0
C6,0.55,0.25,0.15,0.05,0.0,0.15,0.05
D3,0.6,0.15,0.2,0.1,0.15,0.0,0.25
B3,0.45,0.1,0.25,0.0,0.05,0.25,0.0
