Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,1.0,0.85,0.8,0.85,0.85,0.9
G3,1.0,0.0,0.6,0.8,0.7,0.8,0.9
A4,0.85,0.6,0.0,0.35,0.7,0.45,0.7
B10,0.8,0.8,0.35,0.0,0.25,0.25,0.3
C6,0.85,0.7,0.7,0.25,0.0,0.4,0.4
D3,0.85,0.8,0.45,0.25,0.4,0.0,0.6
B3,0.9,0.9,0.7,0.3,0.4,0.6,0.0
