Repebodies,A10,G3,A4,B10,C6,D3,B3
A10,0.0,0.9,0.7,0.7,0.65,0.75,0.7
G3,0.9,0.0,0.25,0.4,0.4,0.25,0.25
A4,0.7,0.25,0.0,0.25,0.25,0.25,0.45
B10,0.7,0.4,0.25,0.0,0.05,0.2,0.15
C6,0.65,0.4,0.25,0.05,0.0,0.2,0.1
D3,0.75,0.25,0.25,0.2,0.2,0.0,0.35
B3,0.7,0.25,0.45,0.15,0.1,0.35,0.0
