 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.478,0.404,0.326,0.188,0.711,0.649,0.049,0.103,0.125
model.000.01.pdb,0.478,1.000,0.591,0.130,0.162,0.533,0.354,0.046,0.236,0.118
model.000.02.pdb,0.404,0.591,1.000,0.180,0.254,0.558,0.465,0.048,0.119,0.186
model.000.03.pdb,0.326,0.130,0.180,1.000,0.172,0.318,0.459,0.000,0.036,0.175
model.000.04.pdb,0.188,0.162,0.254,0.172,1.000,0.186,0.234,0.367,0.000,0.707
model.000.05.pdb,0.711,0.533,0.558,0.318,0.186,1.000,0.632,0.032,0.121,0.139
model.000.06.pdb,0.649,0.354,0.465,0.459,0.234,0.632,1.000,0.052,0.070,0.200
model.000.07.pdb,0.049,0.046,0.048,0.000,0.367,0.032,0.052,1.000,0.000,0.528
model.000.08.pdb,0.103,0.236,0.119,0.036,0.000,0.121,0.070,0.000,1.000,0.000
model.000.09.pdb,0.125,0.118,0.186,0.175,0.707,0.139,0.200,0.528,0.000,1.000
