 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.569,0.103,0.543,0.609,0.542,0.080,0.370,0.109,0.076,0.086
model.000.01.pdb,0.150,0.422,0.176,0.312,0.260,0.373,0.086,0.429,0.000,0.327
model.000.02.pdb,0.153,0.625,0.194,0.149,0.185,0.647,0.027,0.644,0.000,0.646
model.000.03.pdb,0.509,0.110,0.426,0.667,0.455,0.074,0.455,0.100,0.085,0.093
model.000.04.pdb,0.673,0.069,0.553,0.551,0.490,0.064,0.551,0.090,0.123,0.054
model.000.05.pdb,0.680,0.097,0.562,0.625,0.529,0.090,0.444,0.119,0.087,0.081
model.000.06.pdb,0.250,0.458,0.294,0.302,0.353,0.407,0.095,0.500,0.000,0.420
model.000.07.pdb,0.000,0.254,0.000,0.074,0.074,0.270,0.000,0.228,0.000,0.293
model.000.08.pdb,0.091,0.580,0.119,0.114,0.130,0.700,0.000,0.531,0.000,0.538
model.000.09.pdb,0.627,0.026,0.480,0.426,0.375,0.024,0.674,0.042,0.213,0.026
