 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.442,0.186,0.500,0.327,0.533,0.169,0.169,0.222,0.100,0.164
model.000.01.pdb,0.519,0.175,0.489,0.622,0.521,0.159,0.352,0.186,0.061,0.154
model.000.02.pdb,0.453,0.241,0.511,0.543,0.479,0.200,0.246,0.283,0.000,0.217
model.000.03.pdb,0.214,0.125,0.311,0.107,0.240,0.150,0.051,0.157,0.073,0.185
model.000.04.pdb,0.134,0.660,0.151,0.145,0.208,0.774,0.012,0.585,0.000,0.618
model.000.05.pdb,0.462,0.164,0.558,0.429,0.628,0.149,0.186,0.196,0.098,0.161
model.000.06.pdb,0.412,0.241,0.537,0.294,0.500,0.197,0.119,0.260,0.068,0.236
model.000.07.pdb,0.014,0.429,0.000,0.062,0.062,0.382,0.000,0.347,0.000,0.420
model.000.08.pdb,0.415,0.000,0.269,0.255,0.169,0.000,0.643,0.000,0.347,0.000
model.000.09.pdb,0.095,0.642,0.122,0.089,0.147,0.632,0.000,0.566,0.000,0.760
