 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.100,0.119,0.000,0.110,0.057,0.014,0.259,0.074,0.154
model.000.01.pdb,0.432,0.558,0.477,0.217,0.110,0.455,0.364,0.000,0.312,0.067
model.000.02.pdb,0.125,0.118,0.156,0.102,0.731,0.106,0.150,0.440,0.000,0.648
model.000.03.pdb,0.190,0.159,0.268,0.240,0.642,0.186,0.269,0.211,0.000,0.536
model.000.04.pdb,0.364,0.280,0.170,0.262,0.040,0.326,0.326,0.000,0.395,0.027
model.000.05.pdb,0.345,0.640,0.569,0.076,0.185,0.436,0.293,0.068,0.345,0.131
model.000.06.pdb,0.077,0.072,0.075,0.000,0.544,0.044,0.063,0.667,0.000,0.611
model.000.07.pdb,0.175,0.420,0.327,0.034,0.062,0.236,0.123,0.081,0.314,0.063
model.000.08.pdb,0.217,0.222,0.293,0.222,0.685,0.233,0.296,0.237,0.000,0.552
model.000.09.pdb,0.200,0.434,0.370,0.048,0.071,0.259,0.169,0.108,0.263,0.060
