 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.286,0.368,0.294,0.278,0.182,0.288,0.487,0.107,0.241,0.100
model.000.01.pdb,0.322,0.155,0.095,0.424,0.270,0.262,0.141,0.328,0.079,0.209
model.000.02.pdb,0.667,0.208,0.114,0.558,0.604,0.681,0.273,0.042,0.082,0.472
model.000.03.pdb,0.291,0.500,0.480,0.242,0.217,0.293,0.692,0.045,0.389,0.121
model.000.04.pdb,0.230,0.600,0.625,0.209,0.185,0.234,0.667,0.088,0.519,0.099
model.000.05.pdb,0.321,0.595,0.404,0.246,0.241,0.321,0.667,0.078,0.321,0.159
model.000.06.pdb,0.114,0.426,0.620,0.120,0.067,0.108,0.460,0.242,0.608,0.013
model.000.07.pdb,0.635,0.213,0.114,0.655,0.673,0.679,0.250,0.077,0.085,0.571
model.000.08.pdb,0.133,0.357,0.543,0.104,0.094,0.143,0.537,0.031,0.532,0.044
model.000.09.pdb,0.392,0.622,0.370,0.375,0.304,0.389,0.650,0.148,0.316,0.175
