 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.432,0.125,0.190,0.364,0.345,0.077,0.175,0.217,0.200
model.000.01.pdb,0.100,0.558,0.118,0.159,0.280,0.640,0.072,0.420,0.222,0.434
model.000.02.pdb,0.119,0.477,0.156,0.268,0.170,0.569,0.075,0.327,0.293,0.370
model.000.03.pdb,0.000,0.217,0.102,0.240,0.262,0.076,0.000,0.034,0.222,0.048
model.000.04.pdb,0.110,0.110,0.731,0.642,0.040,0.185,0.544,0.062,0.685,0.071
model.000.05.pdb,0.057,0.455,0.106,0.186,0.326,0.436,0.044,0.236,0.233,0.259
model.000.06.pdb,0.014,0.364,0.150,0.269,0.326,0.293,0.063,0.123,0.296,0.169
model.000.07.pdb,0.259,0.000,0.440,0.211,0.000,0.068,0.667,0.081,0.237,0.108
model.000.08.pdb,0.074,0.312,0.000,0.000,0.395,0.345,0.000,0.314,0.000,0.263
model.000.09.pdb,0.154,0.067,0.648,0.536,0.027,0.131,0.611,0.063,0.552,0.060
