 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.500,0.309,0.093,0.588,0.076,0.367,0.286,0.090,0.069,0.283
model.000.01.pdb,0.488,0.089,0.420,0.250,0.000,0.057,0.017,0.409,0.275,0.031
model.000.02.pdb,0.279,0.056,0.809,0.167,0.014,0.000,0.014,0.583,0.300,0.013
model.000.03.pdb,0.446,0.418,0.128,0.611,0.100,0.404,0.322,0.097,0.062,0.383
model.000.04.pdb,0.400,0.298,0.105,0.694,0.106,0.468,0.298,0.056,0.016,0.436
model.000.05.pdb,0.491,0.288,0.103,0.667,0.071,0.392,0.267,0.085,0.048,0.350
model.000.06.pdb,0.556,0.081,0.453,0.288,0.000,0.051,0.031,0.417,0.188,0.043
model.000.07.pdb,0.104,0.224,0.246,0.039,0.094,0.000,0.145,0.309,0.488,0.086
model.000.08.pdb,0.234,0.041,0.720,0.133,0.000,0.000,0.000,0.510,0.294,0.000
model.000.09.pdb,0.279,0.210,0.037,0.527,0.175,0.556,0.339,0.013,0.000,0.569
