 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.442,0.519,0.453,0.214,0.134,0.462,0.412,0.014,0.415,0.095
model.000.01.pdb,0.186,0.175,0.241,0.125,0.660,0.164,0.241,0.429,0.000,0.642
model.000.02.pdb,0.500,0.489,0.511,0.311,0.151,0.558,0.537,0.000,0.269,0.122
model.000.03.pdb,0.327,0.622,0.543,0.107,0.145,0.429,0.294,0.062,0.255,0.089
model.000.04.pdb,0.533,0.521,0.479,0.240,0.208,0.628,0.500,0.062,0.169,0.147
model.000.05.pdb,0.169,0.159,0.200,0.150,0.774,0.149,0.197,0.382,0.000,0.632
model.000.06.pdb,0.169,0.352,0.246,0.051,0.012,0.186,0.119,0.000,0.643,0.000
model.000.07.pdb,0.222,0.186,0.283,0.157,0.585,0.196,0.260,0.347,0.000,0.566
model.000.08.pdb,0.100,0.061,0.000,0.073,0.000,0.098,0.068,0.000,0.347,0.000
model.000.09.pdb,0.164,0.154,0.217,0.185,0.618,0.161,0.236,0.420,0.000,0.760
