 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.068,0.119,0.308,0.000,0.072,0.000,0.103,0.333,0.444,0.053
model.000.01.pdb,0.481,0.321,0.091,0.627,0.090,0.408,0.298,0.071,0.049,0.362
model.000.02.pdb,0.000,0.000,0.211,0.000,0.000,0.014,0.000,0.085,0.065,0.000
model.000.03.pdb,0.194,0.051,0.691,0.095,0.000,0.000,0.000,0.615,0.431,0.000
model.000.04.pdb,0.404,0.077,0.633,0.197,0.000,0.016,0.000,0.511,0.250,0.000
model.000.05.pdb,0.194,0.116,0.554,0.103,0.027,0.000,0.055,0.560,0.595,0.025
model.000.06.pdb,0.228,0.063,0.571,0.118,0.000,0.000,0.000,0.545,0.390,0.000
model.000.07.pdb,0.500,0.131,0.145,0.529,0.062,0.333,0.190,0.129,0.035,0.233
model.000.08.pdb,0.389,0.200,0.139,0.620,0.076,0.426,0.263,0.106,0.000,0.351
model.000.09.pdb,0.118,0.259,0.000,0.281,0.440,0.447,0.460,0.000,0.000,0.592
