 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.068,0.481,0.000,0.194,0.404,0.194,0.228,0.500,0.389,0.118
model.000.01.pdb,0.119,0.321,0.000,0.051,0.077,0.116,0.063,0.131,0.200,0.259
model.000.02.pdb,0.308,0.091,0.211,0.691,0.633,0.554,0.571,0.145,0.139,0.000
model.000.03.pdb,0.000,0.627,0.000,0.095,0.197,0.103,0.118,0.529,0.620,0.281
model.000.04.pdb,0.072,0.090,0.000,0.000,0.000,0.027,0.000,0.062,0.076,0.440
model.000.05.pdb,0.000,0.408,0.014,0.000,0.016,0.000,0.000,0.333,0.426,0.447
model.000.06.pdb,0.103,0.298,0.000,0.000,0.000,0.055,0.000,0.190,0.263,0.460
model.000.07.pdb,0.333,0.071,0.085,0.615,0.511,0.560,0.545,0.129,0.106,0.000
model.000.08.pdb,0.444,0.049,0.065,0.431,0.250,0.595,0.390,0.035,0.000,0.000
model.000.09.pdb,0.053,0.362,0.000,0.000,0.000,0.025,0.000,0.233,0.351,0.592
