 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.136,0.608,0.113,0.071,0.053,0.042,0.123,0.141,0.000,0.136
model.000.01.pdb,0.213,0.180,0.643,0.226,0.190,0.255,0.075,0.580,0.127,0.275
model.000.02.pdb,0.200,0.125,0.083,0.298,0.418,0.259,0.588,0.086,0.315,0.254
model.000.03.pdb,0.260,0.054,0.119,0.449,0.596,0.400,0.560,0.104,0.545,0.315
model.000.04.pdb,0.059,0.078,0.404,0.088,0.065,0.151,0.015,0.490,0.093,0.069
model.000.05.pdb,0.286,0.299,0.527,0.404,0.355,0.411,0.208,0.621,0.222,0.481
model.000.06.pdb,0.185,0.179,0.027,0.180,0.267,0.183,0.463,0.049,0.211,0.200
model.000.07.pdb,0.196,0.520,0.431,0.131,0.106,0.133,0.070,0.456,0.031,0.255
model.000.08.pdb,0.264,0.093,0.162,0.531,0.681,0.451,0.577,0.141,0.532,0.415
model.000.09.pdb,0.179,0.528,0.444,0.175,0.147,0.177,0.080,0.467,0.044,0.298
