 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.125,0.711,0.481,0.538,0.101,0.569,0.149,0.167,0.108
model.000.01.pdb,0.125,1.000,0.143,0.136,0.190,0.577,0.014,0.800,0.000,0.750
model.000.02.pdb,0.711,0.143,1.000,0.449,0.614,0.114,0.365,0.172,0.115,0.141
model.000.03.pdb,0.481,0.136,0.449,1.000,0.451,0.125,0.370,0.145,0.044,0.101
model.000.04.pdb,0.538,0.190,0.614,0.451,1.000,0.141,0.254,0.224,0.092,0.152
model.000.05.pdb,0.101,0.577,0.114,0.125,0.141,1.000,0.013,0.529,0.000,0.537
model.000.06.pdb,0.569,0.014,0.365,0.370,0.254,0.013,1.000,0.000,0.268,0.000
model.000.07.pdb,0.149,0.800,0.172,0.145,0.224,0.529,0.000,1.000,0.000,0.738
model.000.08.pdb,0.167,0.000,0.115,0.044,0.092,0.000,0.268,0.000,1.000,0.000
model.000.09.pdb,0.108,0.750,0.141,0.101,0.152,0.537,0.000,0.738,0.000,1.000
