 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.266,0.127,0.000,0.113,0.041,0.203,0.123,0.071,0.114,0.197
model.000.01.pdb,0.000,0.628,0.029,0.053,0.179,0.043,0.050,0.711,0.700,0.302
model.000.02.pdb,0.429,0.068,0.246,0.725,0.531,0.640,0.600,0.072,0.085,0.000
model.000.03.pdb,0.222,0.101,0.258,0.604,0.600,0.386,0.408,0.183,0.138,0.000
model.000.04.pdb,0.000,0.426,0.062,0.000,0.068,0.000,0.000,0.409,0.444,0.294
model.000.05.pdb,0.024,0.735,0.000,0.133,0.246,0.158,0.164,0.455,0.482,0.273
model.000.06.pdb,0.625,0.041,0.179,0.593,0.352,0.739,0.489,0.029,0.027,0.000
model.000.07.pdb,0.071,0.510,0.000,0.025,0.061,0.100,0.047,0.327,0.412,0.304
model.000.08.pdb,0.227,0.127,0.242,0.648,0.652,0.456,0.521,0.172,0.147,0.000
model.000.09.pdb,0.081,0.519,0.000,0.035,0.103,0.108,0.059,0.345,0.426,0.300
