 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.013,0.000,0.000,0.385,0.000,0.000,0.636,0.000,0.508
model.000.01.pdb,0.340,0.596,0.490,0.103,0.099,0.412,0.259,0.044,0.340,0.073
model.000.02.pdb,0.090,0.000,0.014,0.294,0.230,0.057,0.111,0.090,0.000,0.250
model.000.03.pdb,0.111,0.120,0.155,0.159,0.782,0.110,0.167,0.429,0.000,0.796
model.000.04.pdb,0.314,0.246,0.353,0.224,0.604,0.283,0.333,0.196,0.000,0.448
model.000.05.pdb,0.088,0.099,0.134,0.000,0.614,0.103,0.092,0.644,0.000,0.655
model.000.06.pdb,0.123,0.115,0.158,0.036,0.519,0.102,0.130,0.362,0.000,0.421
model.000.07.pdb,0.535,0.556,0.581,0.283,0.151,0.634,0.465,0.015,0.222,0.107
model.000.08.pdb,0.438,0.587,0.479,0.240,0.145,0.458,0.404,0.015,0.302,0.089
model.000.09.pdb,0.077,0.194,0.125,0.033,0.000,0.092,0.047,0.014,0.556,0.000
