 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.488,0.151,0.291,0.228,0.000,0.000,0.017,0.319,0.186,0.015
model.000.01.pdb,0.274,0.689,0.147,0.269,0.250,0.145,0.434,0.167,0.179,0.328
model.000.02.pdb,0.490,0.217,0.122,0.608,0.059,0.333,0.237,0.088,0.033,0.258
model.000.03.pdb,0.500,0.113,0.436,0.300,0.000,0.016,0.015,0.400,0.135,0.014
model.000.04.pdb,0.490,0.090,0.596,0.281,0.000,0.030,0.000,0.480,0.189,0.013
model.000.05.pdb,0.578,0.079,0.393,0.328,0.000,0.050,0.030,0.380,0.160,0.014
model.000.06.pdb,0.295,0.118,0.720,0.149,0.000,0.000,0.000,0.711,0.404,0.000
model.000.07.pdb,0.433,0.297,0.134,0.643,0.065,0.444,0.239,0.091,0.058,0.375
model.000.08.pdb,0.278,0.031,0.462,0.154,0.000,0.000,0.000,0.457,0.143,0.000
model.000.09.pdb,0.674,0.190,0.362,0.418,0.000,0.067,0.078,0.321,0.204,0.057
