 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.488,0.274,0.490,0.500,0.490,0.578,0.295,0.433,0.278,0.674
model.000.01.pdb,0.151,0.689,0.217,0.113,0.090,0.079,0.118,0.297,0.031,0.190
model.000.02.pdb,0.291,0.147,0.122,0.436,0.596,0.393,0.720,0.134,0.462,0.362
model.000.03.pdb,0.228,0.269,0.608,0.300,0.281,0.328,0.149,0.643,0.154,0.418
model.000.04.pdb,0.000,0.250,0.059,0.000,0.000,0.000,0.000,0.065,0.000,0.000
model.000.05.pdb,0.000,0.145,0.333,0.016,0.030,0.050,0.000,0.444,0.000,0.067
model.000.06.pdb,0.017,0.434,0.237,0.015,0.000,0.030,0.000,0.239,0.000,0.078
model.000.07.pdb,0.319,0.167,0.088,0.400,0.480,0.380,0.711,0.091,0.457,0.321
model.000.08.pdb,0.186,0.179,0.033,0.135,0.189,0.160,0.404,0.058,0.143,0.204
model.000.09.pdb,0.015,0.328,0.258,0.014,0.013,0.014,0.000,0.375,0.000,0.057
