 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.322,0.000,0.027,0.041,0.400,0.000,0.254,0.000,0.339
model.000.01.pdb,0.577,0.085,0.490,0.652,0.490,0.078,0.520,0.106,0.074,0.068
model.000.02.pdb,0.024,0.113,0.056,0.000,0.026,0.269,0.000,0.087,0.103,0.143
model.000.03.pdb,0.071,0.654,0.093,0.090,0.118,0.704,0.000,0.547,0.000,0.673
model.000.04.pdb,0.182,0.553,0.211,0.241,0.286,0.549,0.043,0.605,0.000,0.542
model.000.05.pdb,0.049,0.569,0.041,0.113,0.129,0.564,0.013,0.462,0.000,0.500
model.000.06.pdb,0.056,0.628,0.065,0.131,0.113,0.490,0.015,0.571,0.000,0.449
model.000.07.pdb,0.674,0.143,0.700,0.449,0.578,0.130,0.365,0.172,0.097,0.123
model.000.08.pdb,0.667,0.119,0.690,0.510,0.574,0.110,0.423,0.145,0.092,0.101
model.000.09.pdb,0.306,0.000,0.241,0.250,0.136,0.000,0.500,0.000,0.200,0.000
