 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.417,0.045,0.069,0.231,0.060,0.070,0.703,0.571,0.117
model.000.01.pdb,0.000,0.255,0.000,0.000,0.000,0.000,0.000,0.164,0.218,0.511
model.000.02.pdb,0.106,0.358,0.000,0.025,0.046,0.103,0.048,0.155,0.228,0.268
model.000.03.pdb,0.277,0.123,0.254,0.655,0.660,0.491,0.500,0.185,0.159,0.000
model.000.04.pdb,0.014,0.480,0.013,0.122,0.296,0.116,0.136,0.568,0.532,0.106
model.000.05.pdb,0.400,0.064,0.250,0.736,0.549,0.593,0.462,0.114,0.095,0.000
model.000.06.pdb,0.121,0.327,0.000,0.012,0.062,0.101,0.048,0.193,0.246,0.263
model.000.07.pdb,0.592,0.069,0.162,0.623,0.377,0.739,0.522,0.043,0.027,0.000
model.000.08.pdb,0.013,0.633,0.000,0.072,0.246,0.078,0.090,0.596,0.592,0.274
model.000.09.pdb,0.000,0.660,0.000,0.087,0.213,0.095,0.092,0.659,0.617,0.283
