 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.235,0.100,0.633,0.583,0.773,0.255,0.043,0.068,0.510
model.000.01.pdb,0.235,1.000,0.404,0.190,0.182,0.196,0.657,0.127,0.367,0.100
model.000.02.pdb,0.100,0.404,1.000,0.107,0.113,0.125,0.500,0.169,0.723,0.053
model.000.03.pdb,0.633,0.190,0.107,1.000,0.608,0.647,0.210,0.097,0.077,0.537
model.000.04.pdb,0.583,0.182,0.113,0.608,1.000,0.667,0.224,0.056,0.067,0.681
model.000.05.pdb,0.773,0.196,0.125,0.647,0.667,1.000,0.259,0.027,0.079,0.558
model.000.06.pdb,0.255,0.657,0.500,0.210,0.224,0.259,1.000,0.097,0.431,0.143
model.000.07.pdb,0.043,0.127,0.169,0.097,0.056,0.027,0.097,1.000,0.167,0.027
model.000.08.pdb,0.068,0.367,0.723,0.077,0.067,0.079,0.431,0.167,1.000,0.013
model.000.09.pdb,0.510,0.100,0.053,0.537,0.681,0.558,0.143,0.027,0.013,1.000
