 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.340,0.090,0.111,0.314,0.088,0.123,0.535,0.438,0.077
model.000.01.pdb,0.013,0.596,0.000,0.120,0.246,0.099,0.115,0.556,0.587,0.194
model.000.02.pdb,0.000,0.490,0.014,0.155,0.353,0.134,0.158,0.581,0.479,0.125
model.000.03.pdb,0.000,0.103,0.294,0.159,0.224,0.000,0.036,0.283,0.240,0.033
model.000.04.pdb,0.385,0.099,0.230,0.782,0.604,0.614,0.519,0.151,0.145,0.000
model.000.05.pdb,0.000,0.412,0.057,0.110,0.283,0.103,0.102,0.634,0.458,0.092
model.000.06.pdb,0.000,0.259,0.111,0.167,0.333,0.092,0.130,0.465,0.404,0.047
model.000.07.pdb,0.636,0.044,0.090,0.429,0.196,0.644,0.362,0.015,0.015,0.014
model.000.08.pdb,0.000,0.340,0.000,0.000,0.000,0.000,0.000,0.222,0.302,0.556
model.000.09.pdb,0.508,0.073,0.250,0.796,0.448,0.655,0.421,0.107,0.089,0.000
