 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.565,0.327,0.188,0.162,0.444,0.101,0.185,0.038,0.647,0.673
model.000.01.pdb,0.136,0.000,0.060,0.588,0.197,0.640,0.059,0.551,0.129,0.132
model.000.02.pdb,0.615,0.185,0.136,0.185,0.500,0.114,0.153,0.029,0.596,0.553
model.000.03.pdb,0.347,0.196,0.296,0.176,0.500,0.110,0.315,0.087,0.560,0.652
model.000.04.pdb,0.692,0.136,0.148,0.231,0.565,0.157,0.164,0.103,0.592,0.520
model.000.05.pdb,0.123,0.000,0.027,0.740,0.162,0.760,0.040,0.608,0.118,0.122
model.000.06.pdb,0.269,0.558,0.228,0.026,0.220,0.000,0.203,0.000,0.472,0.490
model.000.07.pdb,0.167,0.000,0.047,0.571,0.232,0.592,0.030,0.500,0.154,0.159
model.000.08.pdb,0.125,0.362,0.031,0.000,0.000,0.000,0.000,0.000,0.136,0.106
model.000.09.pdb,0.115,0.000,0.059,0.519,0.175,0.596,0.043,0.510,0.111,0.114
