 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.683,0.622,0.614,0.265,0.176,0.795,0.535,0.045,0.150,0.132
model.000.01.pdb,0.000,0.000,0.014,0.086,0.467,0.000,0.015,0.489,0.000,0.526
model.000.02.pdb,0.383,0.605,0.634,0.184,0.137,0.467,0.348,0.016,0.182,0.093
model.000.03.pdb,0.131,0.237,0.145,0.069,0.000,0.148,0.100,0.000,0.725,0.000
model.000.04.pdb,0.478,0.714,0.707,0.196,0.211,0.500,0.413,0.062,0.153,0.149
model.000.05.pdb,0.442,0.404,0.524,0.279,0.379,0.465,0.475,0.107,0.016,0.295
model.000.06.pdb,0.321,0.625,0.490,0.081,0.165,0.389,0.246,0.072,0.276,0.096
model.000.07.pdb,0.121,0.255,0.136,0.055,0.000,0.119,0.088,0.000,0.757,0.000
model.000.08.pdb,0.362,0.193,0.138,0.239,0.051,0.327,0.298,0.000,0.422,0.038
model.000.09.pdb,0.125,0.267,0.156,0.048,0.000,0.141,0.078,0.000,0.714,0.000
