 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.136,0.213,0.200,0.260,0.059,0.286,0.185,0.196,0.264,0.179
model.000.01.pdb,0.608,0.180,0.125,0.054,0.078,0.299,0.179,0.520,0.093,0.528
model.000.02.pdb,0.113,0.643,0.083,0.119,0.404,0.527,0.027,0.431,0.162,0.444
model.000.03.pdb,0.071,0.226,0.298,0.449,0.088,0.404,0.180,0.131,0.531,0.175
model.000.04.pdb,0.053,0.190,0.418,0.596,0.065,0.355,0.267,0.106,0.681,0.147
model.000.05.pdb,0.042,0.255,0.259,0.400,0.151,0.411,0.183,0.133,0.451,0.177
model.000.06.pdb,0.123,0.075,0.588,0.560,0.015,0.208,0.463,0.070,0.577,0.080
model.000.07.pdb,0.141,0.580,0.086,0.104,0.490,0.621,0.049,0.456,0.141,0.467
model.000.08.pdb,0.000,0.127,0.315,0.545,0.093,0.222,0.211,0.031,0.532,0.044
model.000.09.pdb,0.136,0.275,0.254,0.315,0.069,0.481,0.200,0.255,0.415,0.298
