 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.013,0.520,0.054,0.104,0.263,0.097,0.095,0.732,0.542,0.136
model.000.01.pdb,0.625,0.013,0.339,0.536,0.237,0.509,0.296,0.000,0.000,0.000
model.000.02.pdb,0.014,0.600,0.000,0.052,0.214,0.056,0.066,0.595,0.628,0.183
model.000.03.pdb,0.000,0.310,0.013,0.000,0.014,0.000,0.000,0.268,0.321,0.630
model.000.04.pdb,0.027,0.562,0.013,0.120,0.315,0.099,0.153,0.591,0.587,0.156
model.000.05.pdb,0.045,0.278,0.060,0.300,0.585,0.200,0.292,0.362,0.288,0.015
model.000.06.pdb,0.038,0.688,0.000,0.098,0.242,0.135,0.156,0.434,0.491,0.250
model.000.07.pdb,0.000,0.333,0.000,0.000,0.015,0.000,0.000,0.241,0.321,0.614
model.000.08.pdb,0.000,0.224,0.058,0.013,0.081,0.000,0.000,0.320,0.302,0.250
model.000.09.pdb,0.000,0.339,0.000,0.000,0.014,0.000,0.000,0.254,0.328,0.560
