 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.068,0.129,0.194,0.099,0.149,0.014,0.203,0.104,0.000,0.080
model.000.01.pdb,0.545,0.000,0.600,0.360,0.523,0.271,0.490,0.333,0.312,0.340
model.000.02.pdb,0.100,0.500,0.058,0.000,0.134,0.273,0.123,0.000,0.014,0.000
model.000.03.pdb,0.194,0.364,0.148,0.000,0.197,0.426,0.113,0.000,0.078,0.000
model.000.04.pdb,0.327,0.000,0.245,0.354,0.208,0.115,0.273,0.386,0.463,0.333
model.000.05.pdb,0.509,0.024,0.491,0.317,0.519,0.357,0.760,0.339,0.200,0.323
model.000.06.pdb,0.056,0.583,0.014,0.000,0.072,0.172,0.096,0.000,0.000,0.000
model.000.07.pdb,0.309,0.043,0.545,0.309,0.449,0.121,0.571,0.308,0.117,0.293
model.000.08.pdb,0.200,0.339,0.138,0.013,0.222,0.479,0.186,0.014,0.058,0.013
model.000.09.pdb,0.328,0.040,0.553,0.283,0.462,0.167,0.640,0.281,0.125,0.270
