 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.381,0.090,0.489,0.347,0.346,0.477,0.177,0.429,0.312,0.375
model.000.01.pdb,0.378,0.222,0.609,0.373,0.345,0.408,0.185,0.556,0.218,0.522
model.000.02.pdb,0.395,0.230,0.500,0.581,0.469,0.595,0.271,0.414,0.327,0.545
model.000.03.pdb,0.133,0.000,0.235,0.229,0.212,0.234,0.158,0.177,0.333,0.113
model.000.04.pdb,0.288,0.152,0.128,0.424,0.517,0.383,0.685,0.140,0.446,0.333
model.000.05.pdb,0.372,0.138,0.578,0.457,0.365,0.535,0.194,0.500,0.280,0.457
model.000.06.pdb,0.310,0.061,0.457,0.465,0.367,0.512,0.207,0.351,0.395,0.312
model.000.07.pdb,0.137,0.237,0.029,0.100,0.148,0.121,0.327,0.053,0.105,0.158
model.000.08.pdb,0.000,0.141,0.228,0.000,0.000,0.032,0.000,0.333,0.000,0.031
model.000.09.pdb,0.210,0.139,0.087,0.317,0.426,0.262,0.579,0.090,0.404,0.239
