 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.396,0.079,0.203,0.328,0.622,0.224,0.241,0.169,0.549,0.540
model.000.01.pdb,0.049,0.161,0.659,0.040,0.250,0.053,0.643,0.106,0.206,0.213
model.000.02.pdb,0.138,0.000,0.054,0.692,0.231,0.712,0.068,0.509,0.147,0.151
model.000.03.pdb,0.460,0.254,0.283,0.176,0.519,0.114,0.279,0.065,0.635,0.804
model.000.04.pdb,0.000,0.208,0.288,0.000,0.045,0.013,0.283,0.014,0.056,0.074
model.000.05.pdb,0.255,0.579,0.167,0.000,0.161,0.000,0.143,0.000,0.420,0.438
model.000.06.pdb,0.103,0.275,0.478,0.000,0.167,0.013,0.500,0.043,0.206,0.254
model.000.07.pdb,0.121,0.000,0.078,0.491,0.183,0.600,0.061,0.574,0.116,0.119
model.000.08.pdb,0.019,0.000,0.074,0.259,0.053,0.353,0.073,0.615,0.031,0.032
model.000.09.pdb,0.169,0.522,0.377,0.000,0.136,0.012,0.370,0.013,0.328,0.339
