 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.500,0.488,0.279,0.446,0.400,0.491,0.556,0.104,0.234,0.279
model.000.01.pdb,0.309,0.089,0.056,0.418,0.298,0.288,0.081,0.224,0.041,0.210
model.000.02.pdb,0.093,0.420,0.809,0.128,0.105,0.103,0.453,0.246,0.720,0.037
model.000.03.pdb,0.588,0.250,0.167,0.611,0.694,0.667,0.288,0.039,0.133,0.527
model.000.04.pdb,0.076,0.000,0.014,0.100,0.106,0.071,0.000,0.094,0.000,0.175
model.000.05.pdb,0.367,0.057,0.000,0.404,0.468,0.392,0.051,0.000,0.000,0.556
model.000.06.pdb,0.286,0.017,0.014,0.322,0.298,0.267,0.031,0.145,0.000,0.339
model.000.07.pdb,0.090,0.409,0.583,0.097,0.056,0.085,0.417,0.309,0.510,0.013
model.000.08.pdb,0.069,0.275,0.300,0.062,0.016,0.048,0.188,0.488,0.294,0.000
model.000.09.pdb,0.283,0.031,0.013,0.383,0.436,0.350,0.043,0.086,0.000,0.569
