 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.577,0.024,0.071,0.182,0.049,0.056,0.674,0.667,0.306
model.000.01.pdb,0.322,0.085,0.113,0.654,0.553,0.569,0.628,0.143,0.119,0.000
model.000.02.pdb,0.000,0.490,0.056,0.093,0.211,0.041,0.065,0.700,0.690,0.241
model.000.03.pdb,0.027,0.652,0.000,0.090,0.241,0.113,0.131,0.449,0.510,0.250
model.000.04.pdb,0.041,0.490,0.026,0.118,0.286,0.129,0.113,0.578,0.574,0.136
model.000.05.pdb,0.400,0.078,0.269,0.704,0.549,0.564,0.490,0.130,0.110,0.000
model.000.06.pdb,0.000,0.520,0.000,0.000,0.043,0.013,0.015,0.365,0.423,0.500
model.000.07.pdb,0.254,0.106,0.087,0.547,0.605,0.462,0.571,0.172,0.145,0.000
model.000.08.pdb,0.000,0.074,0.103,0.000,0.000,0.000,0.000,0.097,0.092,0.200
model.000.09.pdb,0.339,0.068,0.143,0.673,0.542,0.500,0.449,0.123,0.101,0.000
