 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.013,0.625,0.014,0.000,0.027,0.045,0.038,0.000,0.000,0.000
model.000.01.pdb,0.520,0.013,0.600,0.310,0.562,0.278,0.688,0.333,0.224,0.339
model.000.02.pdb,0.054,0.339,0.000,0.013,0.013,0.060,0.000,0.000,0.058,0.000
model.000.03.pdb,0.104,0.536,0.052,0.000,0.120,0.300,0.098,0.000,0.013,0.000
model.000.04.pdb,0.263,0.237,0.214,0.014,0.315,0.585,0.242,0.015,0.081,0.014
model.000.05.pdb,0.097,0.509,0.056,0.000,0.099,0.200,0.135,0.000,0.000,0.000
model.000.06.pdb,0.095,0.296,0.066,0.000,0.153,0.292,0.156,0.000,0.000,0.000
model.000.07.pdb,0.732,0.000,0.595,0.268,0.591,0.362,0.434,0.241,0.320,0.254
model.000.08.pdb,0.542,0.000,0.628,0.321,0.587,0.288,0.491,0.321,0.302,0.328
model.000.09.pdb,0.136,0.000,0.183,0.630,0.156,0.015,0.250,0.614,0.250,0.560
