 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.649,0.477,0.465,0.317,0.145,0.722,0.568,0.017,0.151,0.099
model.000.01.pdb,0.088,0.179,0.067,0.038,0.000,0.086,0.054,0.000,0.722,0.000
model.000.02.pdb,0.083,0.232,0.218,0.000,0.051,0.119,0.051,0.121,0.182,0.065
model.000.03.pdb,0.230,0.197,0.305,0.193,0.824,0.226,0.286,0.250,0.000,0.586
model.000.04.pdb,0.426,0.614,0.769,0.200,0.232,0.581,0.455,0.047,0.098,0.167
model.000.05.pdb,0.152,0.143,0.200,0.150,0.741,0.132,0.197,0.382,0.000,0.722
model.000.06.pdb,0.100,0.250,0.236,0.000,0.050,0.136,0.068,0.119,0.138,0.051
model.000.07.pdb,0.094,0.088,0.091,0.000,0.571,0.060,0.081,0.628,0.000,0.611
model.000.08.pdb,0.460,0.638,0.562,0.158,0.152,0.510,0.346,0.028,0.304,0.098
model.000.09.pdb,0.392,0.667,0.587,0.143,0.156,0.500,0.333,0.029,0.315,0.100
