 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.400,0.644,0.674,0.125,0.275,0.479,0.340,0.129,0.111,0.192
model.000.01.pdb,0.047,0.203,0.190,0.000,0.090,0.097,0.032,0.117,0.196,0.077
model.000.02.pdb,0.185,0.174,0.254,0.167,0.759,0.182,0.233,0.328,0.000,0.621
model.000.03.pdb,0.357,0.667,0.529,0.113,0.160,0.453,0.327,0.041,0.310,0.107
model.000.04.pdb,0.000,0.045,0.046,0.000,0.000,0.000,0.000,0.048,0.179,0.012
model.000.05.pdb,0.170,0.320,0.185,0.078,0.000,0.189,0.113,0.000,0.632,0.000
model.000.06.pdb,0.047,0.203,0.150,0.017,0.000,0.062,0.032,0.098,0.314,0.037
model.000.07.pdb,0.172,0.161,0.228,0.109,0.593,0.150,0.204,0.447,0.000,0.635
model.000.08.pdb,0.056,0.052,0.054,0.000,0.364,0.036,0.059,0.629,0.000,0.480
model.000.09.pdb,0.108,0.267,0.138,0.032,0.000,0.106,0.062,0.043,0.600,0.011
