 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.026,0.191,0.419,0.190,0.577,0.286,0.000,0.000,0.026
model.000.01.pdb,0.026,1.000,0.000,0.048,0.175,0.080,0.076,0.490,0.551,0.305
model.000.02.pdb,0.191,0.000,1.000,0.290,0.152,0.169,0.123,0.042,0.026,0.000
model.000.03.pdb,0.419,0.048,0.290,1.000,0.456,0.607,0.481,0.079,0.062,0.000
model.000.04.pdb,0.190,0.175,0.152,0.456,1.000,0.375,0.489,0.211,0.200,0.000
model.000.05.pdb,0.577,0.080,0.169,0.607,0.375,1.000,0.542,0.070,0.039,0.000
model.000.06.pdb,0.286,0.076,0.123,0.481,0.489,0.542,1.000,0.065,0.078,0.000
model.000.07.pdb,0.000,0.490,0.042,0.079,0.211,0.070,0.065,1.000,0.614,0.220
model.000.08.pdb,0.000,0.551,0.026,0.062,0.200,0.039,0.078,0.614,1.000,0.250
model.000.09.pdb,0.026,0.305,0.000,0.000,0.000,0.000,0.000,0.220,0.250,1.000
