 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.396,0.049,0.138,0.460,0.000,0.255,0.103,0.121,0.019,0.169
model.000.01.pdb,0.079,0.161,0.000,0.254,0.208,0.579,0.275,0.000,0.000,0.522
model.000.02.pdb,0.203,0.659,0.054,0.283,0.288,0.167,0.478,0.078,0.074,0.377
model.000.03.pdb,0.328,0.040,0.692,0.176,0.000,0.000,0.000,0.491,0.259,0.000
model.000.04.pdb,0.622,0.250,0.231,0.519,0.045,0.161,0.167,0.183,0.053,0.136
model.000.05.pdb,0.224,0.053,0.712,0.114,0.013,0.000,0.013,0.600,0.353,0.012
model.000.06.pdb,0.241,0.643,0.068,0.279,0.283,0.143,0.500,0.061,0.073,0.370
model.000.07.pdb,0.169,0.106,0.509,0.065,0.014,0.000,0.043,0.574,0.615,0.013
model.000.08.pdb,0.549,0.206,0.147,0.635,0.056,0.420,0.206,0.116,0.031,0.328
model.000.09.pdb,0.540,0.213,0.151,0.804,0.074,0.438,0.254,0.119,0.032,0.339
