 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.068,0.545,0.100,0.194,0.327,0.509,0.056,0.309,0.200,0.328
model.000.01.pdb,0.129,0.000,0.500,0.364,0.000,0.024,0.583,0.043,0.339,0.040
model.000.02.pdb,0.194,0.600,0.058,0.148,0.245,0.491,0.014,0.545,0.138,0.553
model.000.03.pdb,0.099,0.360,0.000,0.000,0.354,0.317,0.000,0.309,0.013,0.283
model.000.04.pdb,0.149,0.523,0.134,0.197,0.208,0.519,0.072,0.449,0.222,0.462
model.000.05.pdb,0.014,0.271,0.273,0.426,0.115,0.357,0.172,0.121,0.479,0.167
model.000.06.pdb,0.203,0.490,0.123,0.113,0.273,0.760,0.096,0.571,0.186,0.640
model.000.07.pdb,0.104,0.333,0.000,0.000,0.386,0.339,0.000,0.308,0.014,0.281
model.000.08.pdb,0.000,0.312,0.014,0.078,0.463,0.200,0.000,0.117,0.058,0.125
model.000.09.pdb,0.080,0.340,0.000,0.000,0.333,0.323,0.000,0.293,0.013,0.270
