 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.075,0.110,0.026,0.030,0.145,0.179,0.310,0.038,0.328
model.000.01.pdb,0.075,1.000,0.060,0.133,0.439,0.510,0.015,0.404,0.143,0.420
model.000.02.pdb,0.110,0.060,1.000,0.481,0.000,0.132,0.625,0.027,0.588,0.053
model.000.03.pdb,0.026,0.133,0.481,1.000,0.066,0.169,0.339,0.014,0.773,0.041
model.000.04.pdb,0.030,0.439,0.000,0.066,1.000,0.345,0.000,0.212,0.045,0.236
model.000.05.pdb,0.145,0.510,0.132,0.169,0.345,1.000,0.105,0.473,0.243,0.509
model.000.06.pdb,0.179,0.015,0.625,0.339,0.000,0.105,1.000,0.074,0.362,0.068
model.000.07.pdb,0.310,0.404,0.027,0.014,0.212,0.473,0.074,1.000,0.027,0.744
model.000.08.pdb,0.038,0.143,0.588,0.773,0.045,0.243,0.362,0.027,1.000,0.066
model.000.09.pdb,0.328,0.420,0.053,0.041,0.236,0.509,0.068,0.744,0.066,1.000
