 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.373,0.267,0.385,0.562,0.442,0.242,0.250,0.309,0.000,0.242
model.000.01.pdb,0.182,0.090,0.113,0.309,0.143,0.026,0.200,0.062,0.015,0.072
model.000.02.pdb,0.128,0.729,0.145,0.155,0.206,0.679,0.025,0.646,0.000,0.647
model.000.03.pdb,0.611,0.139,0.500,0.588,0.500,0.128,0.473,0.147,0.099,0.122
model.000.04.pdb,0.085,0.014,0.062,0.092,0.014,0.000,0.145,0.015,0.046,0.014
model.000.05.pdb,0.553,0.000,0.391,0.340,0.241,0.000,0.675,0.000,0.306,0.000
model.000.06.pdb,0.238,0.014,0.190,0.241,0.143,0.013,0.309,0.015,0.045,0.028
model.000.07.pdb,0.113,0.805,0.129,0.123,0.177,0.538,0.000,0.795,0.000,0.786
model.000.08.pdb,0.030,0.465,0.017,0.069,0.088,0.327,0.000,0.439,0.000,0.488
model.000.09.pdb,0.431,0.013,0.254,0.283,0.185,0.000,0.604,0.014,0.233,0.013
