 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.649,0.088,0.083,0.230,0.426,0.152,0.100,0.094,0.460,0.392
model.000.01.pdb,0.477,0.179,0.232,0.197,0.614,0.143,0.250,0.088,0.638,0.667
model.000.02.pdb,0.465,0.067,0.218,0.305,0.769,0.200,0.236,0.091,0.562,0.587
model.000.03.pdb,0.317,0.038,0.000,0.193,0.200,0.150,0.000,0.000,0.158,0.143
model.000.04.pdb,0.145,0.000,0.051,0.824,0.232,0.741,0.050,0.571,0.152,0.156
model.000.05.pdb,0.722,0.086,0.119,0.226,0.581,0.132,0.136,0.060,0.510,0.500
model.000.06.pdb,0.568,0.054,0.051,0.286,0.455,0.197,0.068,0.081,0.346,0.333
model.000.07.pdb,0.017,0.000,0.121,0.250,0.047,0.382,0.119,0.628,0.028,0.029
model.000.08.pdb,0.151,0.722,0.182,0.000,0.098,0.000,0.138,0.000,0.304,0.315
model.000.09.pdb,0.099,0.000,0.065,0.586,0.167,0.722,0.051,0.611,0.098,0.100
